"Stock","Year","Season","Area","Country","Effort","Catch.Cat.","Report.cat.","Fleets","Caton","SampledCatch","NumAgeMeasurement","NumLengthMeasurements","NumSamplesAge","NumSamplesLength","MaleAge1","MaleAge2","MaleAge3","MaleAge4","MaleAge5","MaleAge6","MaleAge7","MaleAge8","MaleAge9","MaleAge10","MaleAge11","MaleAge12","MaleAge13","MaleAge14","MaleAge15","MaleAge16","MaleAge17","MaleAge19","FemaleAge1","FemaleAge2","FemaleAge3","FemaleAge4","FemaleAge5","FemaleAge6","FemaleAge7","FemaleAge8","FemaleAge9","FemaleAge10","FemaleAge11","FemaleAge12","FemaleAge13","FemaleAge14","FemaleAge15","FemaleAge16","FemaleAge17","FemaleAge19","UndeterminedAge1","UndeterminedAge2","UndeterminedAge3","UndeterminedAge4","UndeterminedAge5","UndeterminedAge6","UndeterminedAge7","UndeterminedAge8","UndeterminedAge9","UndeterminedAge10","UndeterminedAge11","UndeterminedAge12","UndeterminedAge13","UndeterminedAge14","UndeterminedAge15","UndeterminedAge16","UndeterminedAge17","UndeterminedAge19","X","MaleAge0","FemaleAge0","UndeterminedAge0","MaleAge18","FemaleAge18","UndeterminedAge18","MaleAge20","MaleAge21","MaleAge22","FemaleAge20","FemaleAge21","FemaleAge22","UndeterminedAge20","UndeterminedAge21","UndeterminedAge22","MaleAge27","FemaleAge27","UndeterminedAge27","MaleAge23","MaleAge24","FemaleAge23","FemaleAge24","UndeterminedAge23","UndeterminedAge24","MaleAge26","FemaleAge26","UndeterminedAge26"
"ple.27.7e",2023,"annual","27.7.e","Belgium",699209,"L","R-Reported","TBB_DEF_70-99_0_0_all",108273,0,253,3767,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17443.53,46185.67,100461.64,86031.76,74701.76,18757.43,3888.71,3463.99,2515.72,1644.27,971.21,749.46,242.33,0,86.42,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"4","27.7.e","UK (England)",54692,"L","A-All - reporte","OTB_DEF_70-99_0_0_all",14035,0,614,155,22,5,0,64.91,592.36,1174.55,998.6,553.26,125.9,7.04,0.78,0,0,0,0,0,0,0,0,0,0,168.14,2486.46,8514.21,11195.63,9331.95,2828.03,598.11,238,143.85,75.96,26.47,24.4,3.92,0.67,0.26,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"1","27.7.e","UK (England)",154772,"L","A-All - reporte","GNS_DEF_all_0_0_all",975,0,625,317,22,22,0,13.96,104.27,284.82,324.03,45.87,19.56,3.29,2.67,1.33,0.09,0,0,0.09,0,0,0,0,0,28.9,221.14,687.1,950.11,198.54,115.79,37.53,36.83,26.77,3.84,3.67,1.08,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"3","27.7.e","UK (England)",905150,"L","A-All - reporte","TBB_DEF_70-99_0_0_all",296214,0,573,4026,25,31,0,20846.47,28220.59,38032.5,30260.99,4809.86,1535.4,528.84,71.92,112.78,8.45,4.11,1.56,0.15,0.62,0.15,0,0,0,86545.32,141175,229202.27,235524.38,49563.9,21159.03,9779.54,4250.83,4284.65,1144.75,686.88,457.2,176.95,105.08,55.61,23.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"2","27.7.e","UK (England)",723474,"L","A-All - reporte","TBB_DEF_70-99_0_0_all",134404,0,510,3993,21,24,0,6896.65,5950.33,8097.89,7450.32,574.72,379.25,162.93,157.31,81.64,29.16,17.16,11.05,0.62,1.43,0,0,3.06,0,101580.5,86911.84,121677.34,123783.94,12522.31,9358.33,5015.73,4970.21,2848.29,1635.81,1027.89,590.69,106.73,119.11,0,0,103.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"3","27.7.e","UK (England)",70571,"L","A-All - reporte","OTB_DEF_70-99_0_0_all",17000,0,573,415,25,9,0,1032.86,906.14,870.71,502.51,61.72,15.56,5.05,0.38,0.41,0,0,0,0,0,0,0,0,0,8379.95,9582,13327.47,13453.2,3001.27,1361.77,660.71,314.99,303.85,92.3,56.79,41.72,14.42,7.83,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"4","27.7.e","UK (England)",304278,"L","A-All - reporte","OTB_DEF_>=120_0_0_all",20457,0,614,557,22,14,0,70.43,704.54,1662.18,1592.9,980.04,239.75,18.69,3.5,0.68,0.2,0,0,0,0,0,0,0,0,253.17,3192.97,10895.3,14945.82,13127.44,4149.05,1030.31,431.6,269.08,147.32,58.26,49.71,17.87,12.92,9.27,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"annual","27.7.e","Belgium",699209,"D","R-Reported","TBB_DEF_70-99_0_0_all",25927,0,136,1637,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32080.44,44949.92,43635.39,44655.78,7956.5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"1","27.7.e","UK (England)",53926,"D","A-All - reporte","OTB_DEF_70-99_0_0_all",3155,0,108,170,11,6,0,409.78,1391.77,1179.4,682.61,52.73,17.5,2.53,1.69,0.85,0.12,0,0,0.12,0,0,0,0,0,1042.2,4803.74,6161.12,4291.51,347.16,104.14,9.9,6.64,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"4","27.7.e","UK (England)",54692,"D","A-All - reporte","OTB_DEF_70-99_0_0_all",10231,0,100,112,7,5,0,9946.53,8097.26,4489.05,2104.43,782.9,138.19,3.81,0,0,0,0,0,0,0,0,0,0,0,7745.25,10998.74,9025.98,5063.03,2104.97,405.87,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"1","27.7.e","UK (England)",214299,"L","A-All - reporte","OTB_DEF_>=120_0_0_all",21854,0,625,756,22,21,0,112.24,848.86,2490.51,3097.96,504.42,235.3,47.32,39.3,20.76,1.12,0.77,0.08,1.2,0,0,0,0,0,678.14,5320.83,16644.75,22208.76,4314.11,2470.98,926.66,1018.99,973.34,301.56,413.77,164.14,88.88,55.7,21.52,10.7,61.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"4","27.7.e","UK (England)",4309,"L","A-All - reporte","GTR_DEF_all_0_0_all",156,0,614,44,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,1.51,17.67,55.01,91.08,40.83,21.39,9.68,5.48,2.59,0.64,0.68,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"4","27.7.e","UK (England)",1058685,"L","A-All - reporte","TBB_DEF_70-99_0_0_all",229216,0,614,6012,22,30,0,1236.94,8372.47,20211.68,22387.42,16206.64,4447.93,549.92,145.61,45.67,15.11,2.4,2.77,0.01,0,0,0,0,0,2435.73,27571.68,96640.59,144705.83,139563.57,46742.12,13119.53,5595.46,3647.4,2169.41,1123.57,835.83,518.73,106.15,40.93,48.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"3","27.7.e","UK (England)",905150,"D","A-All - reporte","TBB_DEF_70-99_0_0_all",11137,0,56,563,6,26,0,13211.2,9575.09,7820.41,3691.84,369.48,77.22,21.94,0,0.11,0,0,0,0,0,0,0,0,0,9584.84,7605.81,6616.68,3314.93,348.32,77.44,23.38,0.11,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"3","27.7.e","France",5505,"L","R-Reported","OTB_DEF_32-69_0_0",27.79,0,0,37,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,42.53,6.31,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"2","27.7.e","UK (England)",205866,"L","A-All - reporte","OTB_DEF_>=120_0_0_all",18208,0,510,739,21,24,0,1258.77,1198.58,1681.64,1466.12,71.09,30.14,3.77,2.88,0.34,0,0,0,0,0,0,0,0,0,8723.46,9427.19,15086.14,17809.12,1995.52,1493.13,732.35,705.93,374.81,181.77,114.38,65.74,12.56,13.3,0,0,16.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"2","27.7.e","UK (England)",723474,"D","A-All - reporte","TBB_DEF_70-99_0_0_all",6881,0,66,946,7,58,0,8339.73,2305.94,1546.58,516.29,7.4,2.47,0.19,0.19,0.06,0,0,0,0,0,0,0,0,0,26828.71,9888.2,7576.5,2798.62,34.81,7.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"3","27.7.e","UK (England)",70571,"D","A-All - reporte","OTB_DEF_70-99_0_0_all",11618,0,56,41,6,5,0,6613.05,4209.42,3117.29,1340.84,125.12,24.72,4.63,0,0,0,0,0,0,0,0,0,0,0,16589,12430.55,11338.42,6433.86,795.54,208.54,60.24,3.09,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"1","27.7.e","UK (England)",3089,"L","A-All - reporte","GTR_DEF_all_0_0_all",1135,0,625,231,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,54.33,387.26,882.92,298.33,219.61,100.16,107.84,94.73,20.65,23.85,8.33,9.08,0.46,0.55,0.18,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"1","27.7.e","UK (England)",989179,"L","A-All - reporte","TBB_DEF_70-99_0_0_all",75743,0,625,5254,22,42,0,434.57,3223.07,8798.1,10309.78,1624.51,776.66,180.53,166.81,104.74,11.06,10.25,2.89,8.2,0,0.03,0,0,0,2323.78,17456.68,52531.82,70927.23,14752.46,8998.51,3712.17,4145.88,4047.72,1298.96,1816.35,735.97,374.77,199.21,99.68,48.42,58.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2023,"4","27.7.e","UK (England)",304278,"D","A-All - reporte","OTB_DEF_>=120_0_0_all",10695,0,100,101,7,5,0,4699.13,6185.14,4269.5,2145.89,824.42,151.97,3.43,0,0,0,0,0,0,0,0,0,0,0,4882.52,12617.66,11877.8,6727.9,2769.2,530.76,14.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"4","27.7.e","France",943650,"L","R-Reported","OTB_DEF_100-119_0_0",8659.56,0,0,291,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,89.18,2229.43,16822.25,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"2","27.7.e","UK (England)",-9,"D","A-All - reporte","OTB_DEF_70-99_0_0_all",4145,0,69,101,8,6,0,1997.67,1962.58,1414.05,295.71,22.79,3.9,1.2,0,0,0,0,0,0,0,0,0,NA,0,5526.66,8187.12,8415.94,2182.41,220.73,43.49,12,0.3,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"1","27.7.e","UK (England)",-9,"L","A-All - reporte","TBB_DEF_70-99_0_0_all",90522,0,704,9095,28,31,0,308.84,6259.73,23959.42,9406.84,2797.19,1816.25,1154.6,879.98,345.2,38.43,36.44,12.91,8.04,3.19,0.39,0,NA,0,787.98,15152.75,69778.98,30971.44,13481.2,10333.78,10664.17,10646.52,6654.46,2159.28,1973.91,1422.03,738.91,494.89,68.68,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"3","27.7.e","UK (England)",-9,"L","A-All - reporte","OTB_DEF_>=120_0_0_all",27267,0,657,2031,29,34,9.12,826.2,2011.73,3663.34,1293.87,388.42,120.51,69.87,30.95,1.73,0.69,0.03,0,0.03,0,0,0,NA,30.62,5052.18,12355.96,27115.15,10775.12,4094.7,1973.16,1593.88,1254.24,377.99,366.75,180.93,73.34,100.65,14.97,17.78,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"3","27.7.e","UK (England)",-9,"L","A-All - reporte","OTB_DEF_70-99_0_0_all",15309,0,657,1138,29,9,1.17,312.99,769.76,2373.91,1008.34,347.81,114.94,66.73,29.46,0.86,0.09,0,0,0.01,0,0,0,NA,7.98,2203.23,5416.51,15946.21,6923.48,2610.17,1039.32,712.53,435.35,85.8,73.14,29.24,11.4,18.11,3.06,3.44,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"3","27.7.e","France",1196103,"L","R-Reported","OTB_DEF_100-119_0_0",10243.77,0,0,304,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1496.56,9492.02,0,0,11918.14,0,3338.11,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,815.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"2","27.7.e","UK (England)",-9,"L","A-All - reporte","OTB_DEF_>=120_0_0_all",20335,0,696,1868,32,35,0,327.06,1558.68,3822.98,1800.63,502.63,173.83,90.26,24.97,4.76,4.38,0.46,0.11,0.11,0,0,0,NA,0,1263.91,7456.33,22437.45,12674.89,5497.54,2643.48,2070.39,1007.28,461.45,428.76,226.76,83.2,64.67,20.22,0,8.24,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"3","27.7.e","UK (England)",-9,"D","A-All - reporte","TBB_DEF_70-99_0_0_all",54999,0,85,517,9,43,2930.66,20203.53,47944.95,27696.63,5536.3,803.18,110.76,32.68,5.45,0,0,0,0,0,0,0,0,NA,2234.01,35816.18,85684.04,66143.26,14692.65,2392.59,376.47,130.13,21.18,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ple.27.7e",2022,"2","27.7.e","UK (England)",-9,"L","A-All - reporte","LLS_FIF_0_0_0_all",36,0,696,40,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2.1,15.54,52.03,30.1,11.92,4.97,3.04,1.01,0.23,0.21,0.03,0.01,0.01,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
